
SetupTitle, ID_Vd_CEC
PrimitiveTest, I/V Sweep
TestParameter, Measurement.Monitor.RangeRating, BY FULL RANGE, BY FULL RANGE, BY FULL RANGE
TestParameter, Measurement.Monitor.RangeRatingCoeff, 50, 50, 50
TestParameter, Measurement.Timing.Hold, 1
TestParameter, Measurement.Timing.Delay, 0
TestParameter, Measurement.Adc.HighSpeed.Mode, AUTO
TestParameter, Measurement.Adc.HighSpeed.Coeff, 1
TestParameter, Measurement.Adc.HighResolution.AutoZero, OFF
TestParameter, Measurement.Adc.HighResolution.Mode, AUTO
TestParameter, Measurement.Adc.HighResolution.Coeff, 10
TestParameter, Measurement.WaitTime.Source.Coeff, 1
TestParameter, Measurement.WaitTime.Source.Offset, 0
TestParameter, Measurement.WaitTime.Monitor.Coeff, 1
TestParameter, Measurement.WaitTime.Monitor.Offset, 0
TestParameter, Function.User.Name, absID, absIG
TestParameter, Function.User.Unit, A, A
TestParameter, Function.User.Definition, abs(ID), abs(IG)
TestParameter, Function.Analysis.Name, gm
TestParameter, Function.Analysis.Unit, S
TestParameter, Function.Analysis.Definition, diff(ID,VG)
TestParameter, Output.Graph.Enabled, true
TestParameter, Output.Graph.AutoScaling, false
TestParameter, Output.Graph.XAxis.Data, VD
TestParameter, Output.Graph.XAxis.Scale, Linear
TestParameter, Output.Graph.XAxis.Left, 0
TestParameter, Output.Graph.XAxis.Right, 10
TestParameter, Output.Graph.XAxis.RunTimeAutoScale, true
TestParameter, Output.Graph.YAxis.Data, absID, absIG
TestParameter, Output.Graph.YAxis.Scale, Linear, Linear
TestParameter, Output.Graph.YAxis.Bottom, 1E-11, 1E-11
TestParameter, Output.Graph.YAxis.Top, 6.0000000000000008E-05, 6.0000000000000008E-05
TestParameter, Output.Graph.YAxis.Group, Group 1, 
TestParameter, Output.Graph.YAxis.RunTimeAutoScale, false, false
TestParameter, Output.List.Data, VG, absID, gm, IG
TestParameter, AutoAnalysis.Interpolation, false
TestParameter, AutoAnalysis.Var2StepCount, 1
TestParameter, AutoAnalysis.Var2StepScript, 
TestParameter, AutoAnalysis.Line1.Enabled, false
TestParameter, AutoAnalysis.Line1.Type, 1
TestParameter, AutoAnalysis.Line1.Fix, True
TestParameter, AutoAnalysis.Line1.YAxis, 0
TestParameter, AutoAnalysis.Line1.Point1.Type, 0
TestParameter, AutoAnalysis.Line1.Point1.XY.X, 
TestParameter, AutoAnalysis.Line1.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.Point2.Type, 0
TestParameter, AutoAnalysis.Line1.Point2.XY.X, 
TestParameter, AutoAnalysis.Line1.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.GradientExpr, 0
TestParameter, AutoAnalysis.Line2.Enabled, false
TestParameter, AutoAnalysis.Line2.Type, 1
TestParameter, AutoAnalysis.Line2.Fix, True
TestParameter, AutoAnalysis.Line2.YAxis, 0
TestParameter, AutoAnalysis.Line2.Point1.Type, 0
TestParameter, AutoAnalysis.Line2.Point1.XY.X, 
TestParameter, AutoAnalysis.Line2.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.Point2.Type, 0
TestParameter, AutoAnalysis.Line2.Point2.XY.X, 
TestParameter, AutoAnalysis.Line2.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.GradientExpr, 0
TestParameter, AutoAnalysis.Marker.Enabled, false
TestParameter, AutoAnalysis.Marker.Data.Var, 
TestParameter, AutoAnalysis.Marker.Data.Condition, 
TestParameter, AutoAnalysis.Marker.Data.Start, false
TestParameter, AutoAnalysis.Marker.Data.StartVar, 
TestParameter, AutoAnalysis.Marker.Data.StartCondition, 
MetaData, TestRecord.EntryPoint, true
MetaData, TestRecord.RecordTime, 07/22/2026 15:53:53
MetaData, TestRecord.TestTarget, 
MetaData, TestRecord.IterationIndex, 3
MetaData, TestRecord.Preservation, true
MetaData, TestRecord.Flag, !
MetaData, TestRecord.Remarks, (2, -4)
MetaData, TestRecord.LinkKey, aef39f2e-be1d-4e5d-809f-86f0a7c76288
MetaData, TestRecord.Parameters, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Enabled, true
AnalysisSetup, Analysis.Setup.Vector.Graph.ActiveYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.LeftYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.RightYAxis, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Name, VD
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.RunTimeAutoScale, true
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Unit, V
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Left, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Right, 10
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Name, absID, absIG
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.GroupName, Group 1, 
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.RunTimeAutoScale, false, false
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Unit, A, A
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Scale, Linear, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Bottom, 1E-11, 1E-11
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Top, 6.0000000000000008E-05, 6.0000000000000008E-05
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Interpolation, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Index, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Step, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Active, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.BackgroundColor, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.TextColor, -16777216
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridColor, -3618616
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineColor, -65336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelColor, -11513776
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeToColor, -24416
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelStyle, Adjacent
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotColor, -16777036
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotColor, -39936
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotColor, -16731136
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotColor, -8892376
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotColor, -65536
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotColor, -14336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor, -6946586
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor, -16733546
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LogoVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.SetupSummaryVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeColorEnabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MinorTicksValueVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ParametersVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridNumberFixity, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.AddsVerticalMargin, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Notes, [VAR1] Unit=SMU2:HR, Name=VD, Direction=Double, Linear/Log=LINEAR, Start=0 V, Stop=10 V, Step=125 mV, No. of Steps=81, Compliance=10 mA, Pwr Comp=OFF	[VAR2] Unit=SMU1:HR, Name=VG, Start=10 V, Stop=3 V, Step=-500 mV, No. of Steps=15, Compliance=10 mA, Pwr Comp=OFF	[CONSTANTS] Unit=SMU3:HR, Name=VS, Source Mode=V, Source=0 V, Compliance=100 mA
AnalysisSetup, Analysis.Setup.Vector.Graph.SetupInfo, VG	10,9.5,9,8.5,8,7.5,7,6.5,6,5.5,5,4.5,4,3.5,3	10	-0.5	15
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Name, VG, absID, gm, IG
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Unit, V, A, S, A
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true
AnalysisSetup, Analysis.Setup.Preference.ListVisible, true
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, true
AnalysisSetup, Analysis.Setup.Title, ID_Vd_CEC
Dimension1, 162, 162, 162, 162, 162, 162, 162
Dimension2, 15, 15, 15, 15, 15, 15, 15
DataName, VD, VG, IG, ID, absID, absIG, gm
DataValue, 0, 10, 8.9744000000000013E-11, -5.2784700000000007E-10, 5.2784700000000007E-10, 8.9744000000000013E-11, 
DataValue, 0.125, 10, 6.2308000000000011E-11, 2.0083000000000003E-06, 2.0083000000000003E-06, 6.2308000000000011E-11, 
DataValue, 0.25, 10, 9.0224000000000008E-11, 3.9656000000000006E-06, 3.9656000000000006E-06, 9.0224000000000008E-11, 
DataValue, 0.375, 10, -3.984E-12, 5.8606E-06, 5.8606E-06, 3.984E-12, 
DataValue, 0.5, 10, -3.6088000000000004E-11, 7.7126000000000013E-06, 7.7126000000000013E-06, 3.6088000000000004E-11, 
DataValue, 0.625, 10, 3.2846E-11, 9.497E-06, 9.497E-06, 3.2846E-11, 
DataValue, 0.75, 10, 9.0926000000000007E-11, 1.12692E-05, 1.12692E-05, 9.0926000000000007E-11, 
DataValue, 0.875, 10, -2.4688000000000003E-11, 1.2946000000000001E-05, 1.2946000000000001E-05, 2.4688000000000003E-11, 
DataValue, 1, 10, 9.3838E-11, 1.4602E-05, 1.4602E-05, 9.3838E-11, 
DataValue, 1.125, 10, -2.986E-11, 1.6218E-05, 1.6218E-05, 2.986E-11, 
DataValue, 1.25, 10, -2.56E-13, 1.7775000000000002E-05, 1.7775000000000002E-05, 2.56E-13, 
DataValue, 1.375, 10, 9.313E-11, 1.9325000000000002E-05, 1.9325000000000002E-05, 9.313E-11, 
DataValue, 1.5, 10, -2.3064E-11, 2.0793000000000002E-05, 2.0793000000000002E-05, 2.3064E-11, 
DataValue, 1.625, 10, 2.1408000000000002E-11, 2.2084E-05, 2.2084E-05, 2.1408000000000002E-11, 
DataValue, 1.75, 10, 9.2042E-11, 2.3477000000000002E-05, 2.3477000000000002E-05, 9.2042E-11, 
DataValue, 1.875, 10, -2.4704E-11, 2.4786E-05, 2.4786E-05, 2.4704E-11, 
DataValue, 2, 10, 1.9930000000000003E-11, 2.6152E-05, 2.6152E-05, 1.9930000000000003E-11, 
DataValue, 2.125, 10, 7.0084E-11, 2.7448000000000002E-05, 2.7448000000000002E-05, 7.0084E-11, 
DataValue, 2.25, 10, -4.8192E-11, 2.8822E-05, 2.8822E-05, 4.8192E-11, 
DataValue, 2.375, 10, 5.0796000000000006E-11, 2.9965000000000002E-05, 2.9965000000000002E-05, 5.0796000000000006E-11, 
DataValue, 2.5, 10, 3.5992E-11, 3.1026000000000004E-05, 3.1026000000000004E-05, 3.5992E-11, 
DataValue, 2.625, 10, -4.3552000000000005E-11, 3.2014E-05, 3.2014E-05, 4.3552000000000005E-11, 
DataValue, 2.75, 10, 7.772E-11, 3.3072000000000005E-05, 3.3072000000000005E-05, 7.772E-11, 
DataValue, 2.875, 10, 1.3850000000000001E-11, 3.4094E-05, 3.4094E-05, 1.3850000000000001E-11, 
DataValue, 3, 10, -2.3158000000000003E-11, 3.4984E-05, 3.4984E-05, 2.3158000000000003E-11, 
DataValue, 3.125, 10, 8.8482E-11, 3.5942E-05, 3.5942E-05, 8.8482E-11, 
DataValue, 3.25, 10, -1.3814E-11, 3.6854E-05, 3.6854E-05, 1.3814E-11, 
DataValue, 3.375, 10, 3.046E-12, 3.7717E-05, 3.7717E-05, 3.046E-12, 
DataValue, 3.5, 10, 7.5514E-11, 3.8584E-05, 3.8584E-05, 7.5514E-11, 
DataValue, 3.625, 10, -5.5618000000000006E-11, 3.9351E-05, 3.9351E-05, 5.5618000000000006E-11, 
DataValue, 3.75, 10, 1.8434E-11, 4.0237E-05, 4.0237E-05, 1.8434E-11, 
DataValue, 3.875, 10, 7.9810000000000007E-11, 4.1026E-05, 4.1026E-05, 7.9810000000000007E-11, 
DataValue, 4, 10, -4.0958E-11, 4.1639E-05, 4.1639E-05, 4.0958E-11, 
DataValue, 4.125, 10, 1.9484000000000002E-11, 4.2411000000000004E-05, 4.2411000000000004E-05, 1.9484000000000002E-11, 
DataValue, 4.25, 10, 5.2962E-11, 4.3035000000000004E-05, 4.3035000000000004E-05, 5.2962E-11, 
DataValue, 4.375, 10, -5.8298E-11, 4.3648E-05, 4.3648E-05, 5.8298E-11, 
DataValue, 4.5, 10, 3.2106000000000004E-11, 4.4208E-05, 4.4208E-05, 3.2106000000000004E-11, 
DataValue, 4.625, 10, 4.0712000000000005E-11, 4.4764E-05, 4.4764E-05, 4.0712000000000005E-11, 
DataValue, 4.75, 10, -5.8302E-11, 4.5303E-05, 4.5303E-05, 5.8302E-11, 
DataValue, 4.875, 10, 5.7636000000000005E-11, 4.5805E-05, 4.5805E-05, 5.7636000000000005E-11, 
DataValue, 5, 10, 1.6402E-11, 4.622E-05, 4.622E-05, 1.6402E-11, 
DataValue, 5.125, 10, -3.4816E-11, 4.6705E-05, 4.6705E-05, 3.4816E-11, 
DataValue, 5.25, 10, 7.8924E-11, 4.7076E-05, 4.7076E-05, 7.8924E-11, 
DataValue, 5.375, 10, -2.7802E-11, 4.7503E-05, 4.7503E-05, 2.7802E-11, 
DataValue, 5.5, 10, 1.5624000000000002E-11, 4.7806E-05, 4.7806E-05, 1.5624000000000002E-11, 
DataValue, 5.625, 10, 2.8972000000000002E-11, 4.8149E-05, 4.8149E-05, 2.8972000000000002E-11, 
DataValue, 5.75, 10, -6.2624000000000008E-11, 4.8546E-05, 4.8546E-05, 6.2624000000000008E-11, 
DataValue, 5.875, 10, 6.2872E-11, 4.8842000000000004E-05, 4.8842000000000004E-05, 6.2872E-11, 
DataValue, 6, 10, -1.5532E-11, 4.9131E-05, 4.9131E-05, 1.5532E-11, 
DataValue, 6.125, 10, -1.641E-11, 4.9332E-05, 4.9332E-05, 1.641E-11, 
DataValue, 6.25, 10, 6.2536E-11, 4.9642000000000003E-05, 4.9642000000000003E-05, 6.2536E-11, 
DataValue, 6.375, 10, -6.424E-11, 4.9835E-05, 4.9835E-05, 6.424E-11, 
DataValue, 6.5, 10, 3.2776E-11, 5.0112000000000004E-05, 5.0112000000000004E-05, 3.2776E-11, 
DataValue, 6.625, 10, 1.1328E-11, 5.0257000000000003E-05, 5.0257000000000003E-05, 1.1328E-11, 
DataValue, 6.75, 10, -3.234E-11, 5.0219E-05, 5.0219E-05, 3.234E-11, 
DataValue, 6.875, 10, 7.3102E-11, 5.02E-05, 5.02E-05, 7.3102E-11, 
DataValue, 7, 10, -3.55E-11, 5.0457E-05, 5.0457E-05, 3.55E-11, 
DataValue, 7.125, 10, -1.2522000000000002E-11, 5.0687000000000004E-05, 5.0687000000000004E-05, 1.2522000000000002E-11, 
DataValue, 7.25, 10, 6.3976E-11, 5.0943E-05, 5.0943E-05, 6.3976E-11, 
DataValue, 7.375, 10, -6.6934E-11, 5.1111E-05, 5.1111E-05, 6.6934E-11, 
DataValue, 7.5, 10, 2.413E-11, 5.1233E-05, 5.1233E-05, 2.413E-11, 
DataValue, 7.625, 10, 2.3288000000000003E-11, 5.1389E-05, 5.1389E-05, 2.3288000000000003E-11, 
DataValue, 7.75, 10, -4.6020000000000006E-11, 5.1526E-05, 5.1526E-05, 4.6020000000000006E-11, 
DataValue, 7.875, 10, 6.6356000000000008E-11, 5.1692E-05, 5.1692E-05, 6.6356000000000008E-11, 
DataValue, 8, 10, -1.651E-11, 5.1743E-05, 5.1743E-05, 1.651E-11, 
DataValue, 8.125, 10, -4.3000000000000007E-12, 5.1943E-05, 5.1943E-05, 4.3000000000000007E-12, 
DataValue, 8.25, 10, -4.456E-12, 5.2034000000000004E-05, 5.2034000000000004E-05, 4.456E-12, 
DataValue, 8.375, 10, 5.7508000000000006E-11, 5.2117E-05, 5.2117E-05, 5.7508000000000006E-11, 
DataValue, 8.5, 10, -6.4336E-11, 5.2146000000000005E-05, 5.2146000000000005E-05, 6.4336E-11, 
DataValue, 8.625, 10, 1.9298000000000003E-11, 5.2283E-05, 5.2283E-05, 1.9298000000000003E-11, 
DataValue, 8.75, 10, 2.969E-11, 5.2414E-05, 5.2414E-05, 2.969E-11, 
DataValue, 8.875, 10, -6.9914E-11, 5.2567E-05, 5.2567E-05, 6.9914E-11, 
DataValue, 9, 10, 3.0872000000000003E-11, 5.2495000000000005E-05, 5.2495000000000005E-05, 3.0872000000000003E-11, 
DataValue, 9.125, 10, 2.8400000000000004E-12, 5.2595E-05, 5.2595E-05, 2.8400000000000004E-12, 
DataValue, 9.25, 10, -2.3448000000000003E-11, 5.266E-05, 5.266E-05, 2.3448000000000003E-11, 
